,Category,Congress,District,Member,Party,Reason,Resignation Date,Source
268,G,89th,AK-AL,Ralph Rivers,D,Lost reelection; resigned early to receive higher pension,12/30/1966,Indianapolis Star
269,G,89th,IN-08,Winfield Denton,D,Lost reelection; resigned early to receive higher pension,12/30/1966,Rushville Republican
270,G,89th,IN-10,Ralph Harvey,R,Lost reelection; resigned early to receive higher pension,12/30/1966,Indianapolis Star
271,G,89th,NY-29,Leo O'Brien,D,Retired; resigned early to receive higher pension,12/30/1966,Indianapolis Star
272,G,89th,NC-04,Harold Cooley,D,Lost reelection; resigned early to receive higher pension,12/30/1966,Indianapolis Star
273,G,89th,OH-15,Robert Secrest,D,Lost reelection; resigned early to receive higher pension,12/30/1966,Indianapolis Star
274,G,89th,PA-09,Paul Dague,R,Retired; resigned early to receive higher pension,12/30/1966,Indianapolis Star
275,G,89th,PA-16,John Kunkel,R,Retired; resigned early to receive higher pension,12/30/1966,Indianapolis Star
276,G,89th,TN-07,Tom Murray,D,Lost reelection; resigned early to receive higher pension,12/30/1966,Indianapolis Star
277,G,89th,TX-09,Clark Thompson,D,Retired; resigned early to receive higher pension,12/30/1966,Indianapolis Star
278,G,89th,VA-SEN,A. Willis Robertson,D,Lost reelection bid; resigned to let successor start early,12/30/1966,Indianapolis Star
279,C,89th,MI-09,Robert Griffin,R,Appointed U.S. senator,5/10/1966,U.S. Congress
280,C,89th,AR-04,Oren Harris,D,Appointed federal judge,2/2/1966,U.S. Congress
281,C,89th,NY-17,John Lindsay,R,Elected New York City mayor,12/31/1965,U.S. Congress
282,E,89th,VA-SEN,Harry Byrd Sr.,D,Health reasons,11/10/1965,Washington Post
283,C,89th,CA-26,James Roosevelt,D,Appointed to Johnson administration,9/30/1965,U.S. Congress
284,F,89th,SC-02,Albert Watson,D,Dem Party ostracized him; resigned to seek seat as Republican,2/1/1965,U.S. Congress
285,D & G,88th,CA-SEN,Pierre Salinger,D,Lost reelection; resigned early to take film job & give successor seniority,12/31/1964,Palm Springs Desert Sun
286,C,88th,MN-SEN,Hubert Humphrey,D,Elected vice president,12/29/1964,UPI
287,C,88th,IL-09,Edward Finnegan,D,Appointed Cook County judge,12/6/1964,U.S. Congress
288,C,88th,NM-AL,Joseph Montoya,D,Elected U.S. senator,11/3/1964,U.S. Congress
289,C,88th,TN-06,Ross Bass,D,Elected U.S. senator,11/3/1964,U.S. Congress
290,C,88th,SC-05,Robert Hemphill,D,Appointed federal judge,5/1/1964,U.S. Congress
291,C,88th,CA-05,John Shelley,D,Elected San Francisco mayor,1/7/1964,U.S. Congress
292,C,88th,TX-10,Homer Thornberry,D,Appointed federal judge,12/20/1963,U.S. Congress
293,G,87th,OH-11,Robert Cook,D,Lost reelection bid & left early; unclear why,12/13/1962,U.S. Congress
294,D,87th,MS-03,Frank Smith,D,Appointed to Tennessee Valley Authority,11/14/1962,U.S. House of Representatives
295,C,87th,NJ-11,Hugh Addonizio,D,Elected Newark mayor,6/30/1962,U.S. House of Representatives
296,C,87th,NY-06,Lester Holtzman,D,Elected New York Supreme Court justice,12/31/1961,Jewish Virtual Library
297,D,87th,TX-13,Frank Ikard,D,Took a job with American Petroleum Institute,12/15/1961,Corsicana Daily Sun
298,C,87th,TX-20,Paul Kilday,D,Appointed federal judge,9/24/1961,Arlington National Cemetery
299,C,87th,MI-01,Thaddeus Machrowicz,D,Appointed federal judge,9/18/1961,U.S. Congress
300,C,87th,AZ-02,Stewart Udall,D,Appointed to Kennedy administration,1/18/1961,U.S. Congress
301,C,87th,TX-SEN,Lyndon Johnson,D,Elected vice president,1/3/1961,U.S. Congress
302,C,86th,NY-05,Albert Bosch,R,Elected Queens County judge,12/31/1960,U.S. Congress
303,C,86th,MA-SEN,John F. Kennedy,D,Elected president,12/22/1960,U.S. Congress
304,C,86th,ND-AL,Quentin Burdick,D,Elected U.S. senator,8/8/1960,U.S. Congress
305,C,86th,NY-23,Isidore Dollinger,D,Elected Bronx district attorney,12/31/1959,New York Times
306,C,85th,NY-04,Henry Latham,R,Elected New York Supreme Court justice,12/31/1958,U.S. Congress
307,C,85th,MA-13,Richard Wigglesworth,R,Appointed to Eisenhower administration,11/13/1958,U.S. Congress
308,C,85th,PA-04,Earl Chudoff,D,Elected Pennsylvania judge,1/5/1958,U.S. Congress
309,D,85th,NY-37,Sterling Cole,R,Took a job with International Atomic Energy Agency,12/1/1957,U.S. Congress
310,D,85th,PA-13,Samuel K. McConnell,R,Took a job with United Cerebral Palsy Associations,9/1/1957,U.S. Congress
311,C,85th,TX-SEN,Price Daniel,D,Elected Texas governor,1/14/1957,U.S. Congress
312,C,84th,NY-19,Arthur Klein,D,Elected New York Supreme Court justice,12/31/1956,U.S. Congress
313,C,84th,NY-20,Irwin Davidson,D,Elected New York judge,12/31/1956,U.S. Congress
314,F,84th,SC-SEN,Strom Thurmond,D,Fulfilled a campaign pledge to resign & have a competitive primary,4/4/1956,New York Times
315,C,84th,NY-22,Sidney Fine,D,Elected New York Supreme Court justice,1/2/1956,U.S. Congress
316,G,83rd,NE-SEN,Hazel Abel,R,Elected as caretaker; resigned to let successor start early,12/31/1954,"""Oxford Handbook of Southern Politics"""
317,C,83rd,NE-01,Carl Curtis,R,Appointed U.S. senator,12/31/1954,U.S. Congress
318,C,83rd,NY-21,Jacob Javits,R,Elected New York attorney general,12/31/1954,U.S. Congress
319,G,83rd,SC-SEN,Charles Daniel,D,Appointment was expiring; resigned to let successor start early,12/23/1954,Smart Politics
320,C,83rd,OH-23,George Bender,R,Elected U.S. senator,12/15/1954,U.S. Congress
321,C,83rd,NE-02,Roman Hruska,R,Elected U.S. senator,11/8/1954,U.S. Congress
322,C,83rd,NH-02,Norris Cotton,R,Elected U.S. senator,11/7/1954,U.S. Congress
323,C,83rd,OH-15,Robert Secrest,D,Appointed to Eisenhower administration,9/26/1954,Washington Post
324,C,83rd,NY-08,Louis Heller,D,Appointed New York judge,7/21/1954,U.S. Congress
325,D,83rd,NJ-06,Clifford Case,R,Took a job with Ford Foundation's Fund for the Republic,8/16/1953,New York Times
326,C,83rd,CA-24,Norris Poulson,R,Elected Los Angeles mayor,7/11/1953,New York Times
327,C,83rd,VA-05,Thomas Stanley,D,To focus on his run for governor,2/3/1953,U.S. Congress
328,C,82nd,CA-SEN,Richard Nixon,R,Elected vice president,1/1/1953,U.S. Congress
329,G,82nd,ME-SEN,Owen Brewster,R,Lost reelection bid & left early; unclear why,12/31/1952,U.S. Congress
330,C,82nd,NY-02,Leonard Hall,R,Elected Nassau County surrogate,12/31/1952,U.S. Congress
331,C,82nd,MI-11,Charles Potter,R,Elected U.S. senator,11/4/1952,U.S. Congress
332,C,82nd,MA-02,Foster Furcolo,D,Appointed Massachusetts treasurer,9/30/1952,New York Times
333,D,82nd,TX-07,Tom Pickett,D,Took a job with National Coal Association,6/30/1952,U.S. Congress
334,C,82nd,NY-05,T. Vincent Quinn,D,Elected Queens district attorney,12/30/1951,U.S. Congress
335,E,82nd,OH-03,Edward Breen,D,Ill health,10/1/1951,U.S. Congress
336,C,82nd,NJ-09,Harry Towe,R,Appointed New Jersey deputy attorney general,9/7/1951,New York Times
337,D,82nd,TX-13,Ed Gossett,D,Took a job with Southwestern Bell Telephone Company,7/31/1951,Denton Record-Chronicle
338,C,82nd,KY-06,Thomas Underwood,D,Appointed U.S. senator,3/17/1951,U.S. Congress
339,C,81st,WY-AL,Frank Barrett,R,Elected Wyoming governor,12/31/1950,U.S. Congress
340,E,81st,CA-SEN,Sheridan Downey,D,Ill health,11/30/1950,U.S. Congress
341,C,81st,CA-12,Richard Nixon,R,Appointed U.S. senator,11/30/1950,U.S. Congress
342,C,81st,TX-18,Eugene Worley,D,Appointed federal judge,4/3/1950,U.S. Congress
343,B,81st,NJ-07,J. Parnell Thomas,R,Convicted of fraud,1/2/1950,New York Observer
344,C,81st,CT-SEN,Raymond Baldwin,R,Appointed Connecticut Supreme Court justice,12/16/1949,New York Times
345,C,81st,RI-SEN,J. Howard McGrath,D,Appointed to Truman administration,8/23/1949,U.S. Congress
346,E,81st,NY-SEN,Robert Wagner,D,Health reasons,6/28/1949,Encyclopedia Britannica
347,C,81st,KY-SEN,Alben Barkley,D,Elected vice president,1/19/1949,U.S. Congress
348,C,80th,SD-01,Karl Mundt,R,Appointed U.S. senator,12/30/1948,U.S. Congress
349,G,80th,SD-SEN,Vera Bushfield,R,Appointment was expiring; resigned to let successor start early,12/26/1948,U.S. House of Representatives
350,C,80th,IN-06,Noble Johnson,R,Appointed federal judge,7/1/1948,U.S. Congress
351,C,80th,VA-06,J. Lindsay Almond,D,Elected Virginia attorney general,4/17/1948,U.S. Congress
352,C,80th,KY-02,Earle Clements,D,Elected Kentucky governor,1/6/1948,U.S. Congress
353,C,80th,NY-24,Benjamin Rabin,D,Elected New York Supreme Court justice,12/31/1947,U.S. Congress
354,C,80th,IL-21,Evan Howell,R,Appointed federal judge,10/5/1947,U.S. Congress
355,C,80th,NY-14,Leo Rayfiel,D,Appointed federal judge,9/13/1947,U.S. Congress
356,C,80th,OH-04,Robert Jones,R,Appointed to Truman administration,9/2/1947,U.S. Congress
357,C,80th,TX-16,Ewing Thomason,D,Appointed federal judge,7/31/1947,U.S. Congress
358,C,80th,MD-03,Thomas D'Alesandro,D,Elected Baltimore mayor,5/16/1947,U.S. Congress
359,G,79th,WA-SEN,Hugh Mitchell,D,Lost reelection bid; resigned to let successor start early,12/25/1946,History Link
360,C,79th,AL-08,John Sparkman,D,Elected U.S. senator,11/5/1946,U.S. Congress
361,C,79th,ID-02,Henry Dworshak,R,Elected U.S. senator,11/5/1946,U.S. Congress
362,C,79th,VA-07,A. Willis Robertson,D,Elected U.S. senator,11/5/1946,U.S. Congress
363,C,79th,VT-SEN,Warren Austin,R,Appointed to Truman administration,8/2/1946,U.S. Congress
364,C,79th,PA-10,John Murphy,D,Appointed federal judge,7/17/1946,U.S. Congress
365,C,79th,TX-06,Luther Johnson,D,Appointed federal judge,7/17/1946,U.S. Congress
366,C,79th,VA-05,Thomas Burch,D,Appointed U.S. senator,5/31/1946,U.S. Congress
367,C,79th,PA-33,Samuel Weiss,D,Elected Pennsylvania judge,1/7/1946,U.S. Congress
368,D,79th,GA-05,Robert Ramspeck,D,Took a job with Air Transport Association,12/31/1945,U.S. Congress
369,D,79th,VA-06,Clifton Woodrum,D,Took a job with American Plant Food Council,12/31/1945,U.S. Congress
370,C,79th,NY-19,Samuel Dickstein,D,Elected New York Supreme Court justice,12/30/1945,American Jewish Archives
371,D,79th,KY-SEN,Happy Chandler,D,Took a job with Major League Baseball,11/1/1945,U.S. Congress
372,C,79th,OH-SEN,Harold Burton,R,Appointed to U.S. Supreme Court,9/30/1945,U.S. Congress
373,C,79th,NJ-04,Lane Powers,R,Appointed to New Jersey Public Utilities Commission,8/30/1945,U.S. Congress
374,C,79th,NM-AL,Clinton Anderson,D,Appointed to Truman administration,6/30/1945,U.S. Congress
375,D,79th,VA-03,Dave Satterfield Jr.,D,Took a job with Life Insurance Association of America,2/15/1945,U.S. Congress
376,C,79th,MO-SEN,Harry Truman,D,Elected vice president,1/17/1945,U.S. Congress
377,C,79th,WA-SEN,Mon Wallgren,D,Elected Washington governor,1/9/1945,U.S. Congress
378,C,78th,PA-AL,William Troutman,R,"Unclear, but sounds like he was elected to PA State Senate",1/2/1945,U.S. Congress
379,C,78th,WA-01,Warren Magnuson,D,Appointed U.S. senator,12/13/1944,U.S. Congress
380,H,78th,RI-02,John Fogarty,D,Joined the Navy,12/7/1944,U.S. Congress
381,H,78th,TN-04,Al Gore Sr.,D,Joined the Army,12/4/1944,U.S. Congress
382,H,78th,FL-AL,Lex Green,D,Joined the Navy,11/25/1944,U.S. Congress
383,C,78th,WA-SEN,Homer Bone,D,Appointed federal judge,11/13/1944,U.S. Congress
384,H,78th,FL-03,Bob Sikes,D,Joined the Army,10/19/1944,National Military Fish & Wildlife Association
385,D,78th,VA-02,Winder Harris,D,Took a job with Shipbuilders' Council of America,9/15/1944,Smart Politics
386,H,78th,CA-16,Will Rogers Jr.,D,Joined the Army,5/23/1944,U.S. Congress
387,H,78th,LA-03,Jimmy Domengeaux,D,Joined the Army,4/15/1944,New York Times
388,H,78th,MA-SEN,Henry Cabot Lodge Jr.,R,Joined the Army,2/3/1944,U.S. Congress
389,C,78th,NY-21,Joseph Gavagan,D,Elected New York Supreme Court justice,12/30/1943,U.S. Congress
390,C,78th,PA-02,James McGranery,D,Appointed to Roosevelt administration,11/17/1943,U.S. Congress
391,H,78th,PA-23,James Van Zandt,R,Joined the Navy,9/24/1943,U.S. Congress
392,D,78th,OK-02,Jack Nichols,D,Took a job with Transcontinental & Western Air,7/3/1943,U.S. Congress
393,G,77th,IL-06,Anton Maciejewski,D,Retired & left early; unclear why,12/8/1942,U.S. Congress
394,C,77th,NV-AL,James Scrugham,D,Elected U.S. senator,12/7/1942,U.S. Congress
395,C,77th,IL-04,Harry Beam,D,Elected Illinois judge,12/6/1942,U.S. Congress
396,H,77th,PA-25,Charles Faddis,D,Joined the Army,12/4/1942,U.S. Congress
397,C,77th,MD-02,William Cole Jr.,D,Appointed federal judge,10/26/1942,U.S. Congress
398,H,77th,IA-09,Vincent Harrington,D,Joined the Army,9/5/1942,U.S. Congress
399,H,77th,OH-13,A.D. Baumhart Jr.,R,Joined the Navy,9/2/1942,U.S. Congress
400,C,77th,MA-08,Arthur Healey,D,Appointed federal judge,8/3/1942,U.S. Congress
401,H,77th,OH-15,Robert Secrest,D,Joined the Navy,8/3/1942,U.S. Congress
402,C,77th,WA-05,Charles Leavy,D,Appointed federal judge,8/1/1942,U.S. Congress
403,C,77th,PA-33,Joseph McArdle,D,Elected to Pittsburgh City Council,1/5/1942,U.S. Congress
404,C,77th,PA-12,Harold Flannery,D,Elected Pennsylvania judge,1/3/1942,U.S. Congress
405,C,77th,CT-05,Joseph Smith,D,Appointed federal judge,11/4/1941,U.S. Congress
406,C,77th,MS-02,Wall Doxey,D,Elected U.S. senator,9/29/1941,U.S. Congress
407,C,77th,SC-SEN,James Byrnes,D,Appointed to U.S. Supreme Court,7/8/1941,U.S. Congress
408,C,77th,AR-SEN,John Miller,D,Appointed federal judge,3/31/1941,U.S. Congress
409,C,77th,VA-02,Colgate Darden ,D,To focus on his run for governor,3/1/1941,U.S. Congress
410,D,77th,AL-07,Walter Bankhead,D,Retured to his law practice (was always meant as a caretaker),2/1/1941,Encyclopedia of Alabama
411,C,77th,WV-SEN,Matthew Neely,D,Elected West Virginia governor,1/12/1941,U.S. Congress
412,C,76th,MO-11,Thomas Hennings,D,Elected St. Louis circuit attorney,12/31/1940,U.S. Congress
413,C,76th,WA-02,Mon Wallgren,D,Appointed U.S. senator,12/19/1940,U.S. Congress
414,C,76th,WA-SEN,Lewis Schwellenbach,D,Appointed federal judge,12/16/1940,U.S. Congress
415,C,76th,LA-02,Paul Maloney,D,Became collector of internal revenue for New Orleans district,12/15/1940,U.S. Congress
416,C,76th,TX-18,Marvin Jones,D,Appointed federal judge,11/20/1940,U.S. Congress
417,C,76th,NC-01,Lindsay Warren,D,Appointed comptroller general,10/31/1940,U.S. Congress
418,C,76th,TN-09,Clift Chandler,D,Elected Memphis mayor,1/2/1940,U.S. Congress
419,C,76th,MD-01,Alan Goldsborough,D,Appointed federal judge,4/5/1939,U.S. Congress
420,C,75th,IA-01,Edward Eicher,D,Appointed to Roosevelt administration,12/2/1938,U.S. Congress
421,C,75th,NY-42,James Mead,D,Elected U.S. senator,12/2/1938,U.S. Congress
422,D,75th,CA-SEN,William McAdoo,D,Took a job with American Steamship Lines,11/8/1938,Knoxville Focus
423,I,75th,NH-01,Arthur Jenks,R,His election was successfully contested & overturned,6/9/1938,U.S. House of Representatives
424,C,75th,KY-08,Fred Vinson,D,Appointed federal judge,5/12/1938,U.S. Congress
425,D,75th,OR-SEN,Frederick Steiwer,R,Returned to his law practice,1/31/1938,New York Times
426,C,75th,NJ-SEN,Harry Moore,D,Elected New Jersey governor,1/18/1938,U.S. Congress
427,C,75th,AL-02,Lister Hill,D,Appointed U.S. senator,1/11/1938,U.S. Congress
428,G,75th,AL-SEN,Dixie Bibb Graves,D,Appointment was expiring; resigned to let successor start early,1/10/1938,Encyclopedia of Alabama
429,C,75th,PA-33,Henry Ellenbogen,D,Elected Pennsylvania judge,1/3/1938,U.S. Congress
430,C,75th,AR-02,John Miller,D,Elected U.S. senator,11/14/1937,U.S. Congress
431,C,75th,MA-11,John Higgins,D,Appointed Massachusetts judge,9/30/1937,U.S. Congress
432,C,75th,NY-25,Charles Millard,R,Elected Westchester County surrogate,9/29/1937,U.S. Congress
433,C,75th,AL-SEN,Hugo Black,D,Appointed to U.S. Supreme Court,8/19/1937,U.S. Congress
434,C,75th,OH-04,Frank Kloeb,D,Appointed federal judge,8/19/1937,U.S. Congress
435,C,74th,MI-11,Prentiss Brown,D,Appointed U.S. senator,11/18/1936,U.S. Congress
436,C,74th,IA-09,Guy Gillette,D,Elected U.S. senator,11/3/1936,U.S. Congress
437,C,74th,WA-05,Samuel Hill,D,Appointed federal judge,6/25/1936,U.S. Congress
438,C,74th,OH-11,Mell Underwood,D,Appointed federal judge,4/10/1936,U.S. Congress
439,C,74th,NY-02,William Brunner,D,Elected Queens County sheriff,9/27/1935,U.S. Congress
440,C,74th,IL-23,William Arnold,D,Appointed federal judge,9/16/1935,U.S. Congress
441,C,74th,IL-AL,Michael Igoe,D,Appointed to Roosevelt administration,6/2/1935,U.S. Congress
442,C,74th,AL-01,John McDuffie,D,Appointed federal judge,3/2/1935,U.S. Congress
443,C,74th,RI-01,Francis Condon,D,Appointed Rhode Island judge,1/10/1935,U.S. Congress
444,F,73rd,PA-02,James Beck,R,"Frustrated with Congress, could fight the New Deal better in court",9/30/1934,Indiana Gazette
445,C,73rd,KS-05,W.A. Ayres,D,Appointed to Roosevelt administration,8/22/1934,U.S. Congress
446,C,73rd,NY-23,Frank Oliver,D,Appointed New York City magistrate,6/18/1934,U.S. Congress
447,C,73rd,VT-AL,Ernest Gibson,R,Appointed U.S. senator,10/19/1933,U.S. Congress
448,C,73rd,IL-21,Earl Major,D,Appointed federal judge,10/6/1933,U.S. Congress
449,C,73rd,NM-SEN,Sam Bratton,D,Appointed federal judge,6/24/1933,U.S. Congress
450,C,73rd,AR-05,Heartsill Ragon,D,Appointed federal judge,6/16/1933,U.S. Congress
451,C,72nd,AZ-AL,Lewis Douglas,D,Appointed to Roosevelt administration,3/4/1933,U.S. Congress
452,C,72nd,TN-SEN,Cordell Hull,D,Appointed to Roosevelt administration,3/3/1933,U.S. Congress
453,C,72nd,TX-15,John Nance Garner,D,Elected vice president,3/3/1933,U.S. Congress
454,C,72nd,VA-SEN,Claude Swanson,D,Appointed to Roosevelt administration,3/3/1933,U.S. Congress
455,G,72nd,MO-SEN,Harry Hawes,D,Retired; resigned early to give successor seniority,2/3/1933,St. Louis Post-Dispatch
456,D,72nd,CT-03,John Tilson,R,"Went back to ""private life"" to make money",12/3/1932,Associated Press
457,C,72nd,GA-03,Charles Crisp,D,Appointed to U.S. Tariff Commission,10/7/1932,U.S. Congress
458,C,72nd,MA-08,Frederick Dallinger,R,Appointed federal judge,10/1/1932,U.S. Congress
459,C,72nd,PA-06,George Welsh,R,Appointed federal judge,5/31/1932,U.S. Congress
460,I,72nd,IL-08,Peter Granata,R,His election was successfully contested & overturned,4/5/1932,U.S. Congress
461,C,72nd,PA-20,Russell Leech,R,Appointed federal judge,1/29/1932,U.S. Congress
462,C,71st,KY-02,David Kincheloe,D,Appointed federal judge,10/5/1930,U.S. Congress
463,C,71st,RI-03,Jeremiah O'Connell,D,Appointed Rhode Island judge,5/9/1930,U.S. Congress
464,I,71st,TX-14,Augustus McCloskey,D,His election was successfully contested & overturned,2/10/1930,U.S. Congress
465,C,71st,KY-11,John Robsion,R,Appointed U.S. senator,1/10/1930,U.S. Congress
466,C,71st,KY-SEN,Fred Sackett,R,Appointed to Hoover administration,1/9/1930,U.S. Congress
467,C,71st,NY-18,John Carew,D,Appointed New York Supreme Court justice,12/28/1929,U.S. Congress
468,C,71st,NJ-SEN,Walter Edge,R,Appointed to Hoover administration,11/21/1929,U.S. Congress
469,C,71st,IL-24,Thomas Williams,R,Appointed federal judge,11/11/1929,U.S. Congress
470,C,71st,MN-05,Walter Newton,R,Appointed to Hoover administration,6/30/1929,U.S. Congress
471,C,70th,KS-SEN,Charles Curtis,R,Elected vice president,3/3/1929,U.S. Congress
472,C,70th,NY-41,Clarence MacGregor,R,Elected New York Supreme Court justice,12/31/1928,U.S. Congress
473,C,70th,OH-22,Theodore Burton,R,Elected U.S. senator,12/15/1928,U.S. Congress
474,E,70th,DE-SEN,Coleman du Pont,R,Ill health,12/9/1928,"""The Polluters"""
475,C,70th,AL-05,William Bowling,D,Appointed Alabama judge,8/16/1928,U.S. Congress
476,C,70th,OR-02,Nicholas Sinnott,R,Appointed federal judge,5/31/1928,U.S. Congress
477,C,70th,IA-09,William Green,R,Appointed federal judge,3/31/1928,U.S. Congress
478,C,70th,PA-01,James Hazlett,R,"Hard to find, but probably elected Philadelphia recorder of deeds?",10/20/1927,Scranton Republican
479,C,69th,MO-11,Harry Hawes,D,To focus on his run for Senate,10/15/1926,U.S. Congress
480,I,69th,IA-SEN,Smith Brookhart,R,His election was successfully contested & overturned,4/12/1926,U.S. Congress
481,B,69th,KY-10,John Langley,R,Convicted of violating Prohibition laws,1/11/1926,Lexington Herald-Leader
482,C,68th,ND-02,George Young,R,Appointed federal judge,9/2/1924,U.S. Congress
483,C,68th,IL-14,William Graham,R,Appointed federal judge,6/7/1924,U.S. Congress
484,C,68th,KY-09,William Fields,D,Elected Kentucky governor,12/11/1923,U.S. Congress
485,C,68th,VT-02,Porter Dale,R,To focus on his run for Senate,8/11/1923,U.S. Congress
486,C,68th,WA-05,Stanley Webster,R,Appointed federal judge,5/8/1923,Spokane Spokesman-Review
487,C,68th,IA-08,Horace Towner,R,Appointed Puerto Rico governor,4/1/1923,U.S. Congress
488,C,67th,PA-01,William Vare,R,Elected to PA State Senate,1/2/1923,Reading Times
489,I,67th,VA-07,Thomas Harrison,D,His election was successfully contested & overturned,12/15/1922,U.S. Congress
490,C,67th,MO-01,Frank Millspaugh,R,Appointed state finance commissioner,12/5/1922,Jefferson City Post-Tribune
491,B,67th,MI-SEN,Truman Newberry,R,Faced a vigorous election challenge due to his unethical campaign,11/18/1922,U.S. Senate
492,C,67th,MA-16,Joseph Walsh,R,Appointed Massachusetts judge,8/2/1922,U.S. Congress
493,C,67th,NE-01,Frank Reavis,R,Appointed to Harding administration,6/3/1922,U.S. Congress
494,C,67th,NY-37,Alanson Houghton,R,Appointed to Harding administration,2/28/1922,U.S. Congress
495,C,67th,IA-SEN,William Kenyon,R,Appointed federal judge,2/24/1922,University of Iowa
496,C,67th,ME-03,John Peters,R,Appointed federal judge,1/2/1922,Maine: An Encyclopedia
497,C,67th,DE-SEN,Josiah Wolcott,D,Appointed Delaware chancellor,7/2/1921,U.S. Congress
498,C,67th,MA-06,Willfred Lufkin,R,Appointed collector of customs at Port of Boston,6/30/1921,U.S. Congress
499,D,67th,IA-05,James Good,R,Took a job with a Chicago law firm,6/15/1921,New York Times
500,C,67th,NM-SEN,Albert Fall,R,Appointed to Harding administration,3/4/1921,U.S. Congress
501,I,66th,PA-10,Patrick McLane,D,His election was successfully contested & overturned,2/25/1921,U.S. Congress
502,C,66th,ID-SEN,John Nugent,D,Appointed to Wilson administration,1/14/1921,Spokane Spokesman-Review
503,C,66th,OH-SEN,Warren Harding,R,Elected president,1/13/1921,U.S. Congress
504,C,66th,MA-09,Alvan Fuller,R,Elected Massachusetts lieutenant governor,1/5/1921,U.S. Congress
505,C,66th,NY-03,John MacCrate,R,Elected New York Supreme Court justice,12/30/1920,U.S. Congress
506,C,66th,AL-05,Thomas Heflin,D,To focus on his run for Senate,11/1/1920,U.S. Congress
507,C,66th,NY-26,Edmund Platt,R,Appointed to Federal Reserve,6/7/1920,U.S. Congress
508,C,66th,VA-05,Edward Saunders,D,Elected Virginia judge,2/29/1920,U.S. Congress
509,C,66th,PA-03,Hampton Moore,R,Elected Philadelphia mayor,1/4/1920,U.S. Congress
510,C,66th,NY-10,Reuben Haskell,R,Elected Kings County judge,12/31/1919,U.S. Congress
511,C,66th,NY-14,Fiorello La Guardia,R,Elected New York City Board of Aldermen president,12/31/1919,U.S. Congress
512,C,66th,MO-03,Joshua Alexander,D,Appointed to Wilson administration,12/15/1919,U.S. Congress
513,C,66th,NC-09,Edwin Webb,D,Appointed federal judge,11/10/1919,U.S. Congress
514,I,66th,MA-10,John F. Fitzgerald,D,His election was successfully contested & overturned,10/23/1919,U.S. Congress
515,C,66th,SC-07,Frank Lever,D,Appointed to Federal Farm Loan Board,8/1/1919,U.S. Congress
516,C,65th,TX-12,James Wilson,D,Appointed federal judge,3/3/1919,U.S. Congress
517,D,65th,VA-08,Charles Carlin,D,Returned to his law practice,3/3/1919,Washington Post
518,I,65th,NC-10,Zebulon Weaver,D,His election was successfully contested & overturned,3/1/1919,U.S. Congress
519,C,65th,NY-04,Harry Dale,D,Appointed New York judge,1/6/1919,U.S. Congress
520,C,65th,PA-AL,John R.K. Scott,R,"Unclear, but sounds like he was elected to PA State House",1/5/1919,Pennsylvania House of Representatives
521,G,65th,OR-SEN,Frederick Mulkey,R,Resigned early to give successor seniority (was always meant as a caretaker),12/17/1918,Oregon Blue Book
522,C,65th,VA-06,Carter Glass,D,Appointed to Wilson administration,12/16/1918,U.S. Congress
523,C,65th,WI-11,Irvine Lenroot,R,Elected U.S. senator,4/17/1918,U.S. Congress
524,C,65th,NY-21,Murray Hulbert,D,Appointed director of Port of New York City,1/1/1918,U.S. Congress
525,D,65th,NY-07,John J. Fitzgerald,D,Resumed practicing law,12/31/1917,U.S. Congress
526,C,65th,NY-08,Daniel Griffin,D,Elected Kings County sheriff,12/31/1917,U.S. Congress
527,C,65th,NY-22,Henry Bruckner,D,Elected Bronx borough president,12/31/1917,U.S. Congress
528,C,65th,GA-04,William Adamson,D,Appointed federal judge,12/18/1917,U.S. Congress
529,I,65th,MI-02,Mark Bacon,R,His election was successfully contested & overturned,12/13/1917,U.S. Congress
530,H,65th,MA-06,Augustus Gardner,R,Joined the Army,5/15/1917,U.S. Congress
531,B,65th,PA-28,Orrin Bleakley,R,Convicted of spending too much money on his campaign,4/3/1917,PoliticsPA
532,C,64th,VA-07,James Hay,D,Appointed federal judge,10/1/1916,New York Times
533,C,64th,CA-10,William Stephens,R,Appointed California lieutenant governor,7/22/1916,U.S. Congress
534,C,64th,SC-04,Joseph Johnson,D,Appointed federal judge,4/19/1915,Find a Grave
535,C,63rd,NJ-08,Eugene Kinkead,D,"Elected Hudson County sheriff, right to vote in House challenged",2/4/1915,Christian Science Monitor
536,C,63rd,OH-05,Timothy Ansberry,D,Appointed Ohio judge,1/9/1915,U.S. Congress
537,C,63rd,OH-08,Frank Willis,R,Elected Ohio governor,1/9/1915,U.S. Congress
538,C,63rd,MN-02,Winfield Hammond,D,Elected Minnesota governor,1/6/1915,U.S. Congress
539,C,63rd,NY-02,Denis O'Leary,D,Elected Queens district attorney,12/31/1914,New York Times
540,C,63rd,GA-10,Thomas Hardwick,D,To focus on his run for Senate,11/2/1914,U.S. Congress
541,C,63rd,NJ-09,Walter McCoy,D,Appointed federal judge,10/3/1914,U.S. Congress
542,C,63rd,MD-01,Harry Covington,D,Appointed federal judge,9/30/1914,U.S. Congress
543,C,63rd,MA-10,William Murray,D,Appointed postmaster of Boston,9/28/1914,U.S. Congress
544,C,63rd,MA-11,Andrew Peters,D,Appointed to Wilson administration,8/15/1914,U.S. Congress
545,C,63rd,OH-14,William Sharp,D,Appointed to Wilson administration,7/23/1914,U.S. Congress
